RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Posto de Servicos Veyron Eireli,"Rua Romao Puiggari, 28",Sacoma,BRANCA,3.849,-,-,-,25/11/2019,-,Sim
Auto Posto 1090 Ltda,"Avenida Prof Celestino Bourroul, 1078",Limao,BRANCA,3.849,3.53,FOB,FERA,13/11/2019,-,Sim
Auto Posto Landau Ltda,"Largo do Rosario, 68",Penha,BRANCA,3.849,-,-,-,05/11/2019,-,Sim
Auto Posto Giza Ltda,"Avenida Sao Miguel, 5891",Ermelino Matarazzo,BRANCA,3.849,3.62,FOB,FERA,13/11/2019,-,Sim
Auto Posto Estado de Sao Paulo Ltda.,"Avenida Engenheiro Caetano Alves, S/n",Limao,BRANCA,3.849,3.525,FOB,FERA,13/11/2019,-,Sim
Auto Posto Boturuçu Ltda,"Avenida Itaberaba, 3074",Freguesia do Ó,RAIZEN,3.849,-,-,-,13/11/2019,-,Sim
Centro Automotivo Denver Ltda,"Estrada Mogi das Cruzes, 432",Ponte Rasa,BRANCA,3.849,3.52,CIF,FERA,05/11/2019,-,Sim
Ouro Velho Automóveis e Serviços Ltda,"Rua Coronel Diogo, 650",Jardim da Glória,BRANCA,3.877,-,-,-,12/11/2019,-,Sim
Auto Posto Dherinho Ltda,"Rua Joao Rudge, 101",Casa Verde,BRANCA,3.879,-,-,-,13/11/2019,-,Sim
Posto de Servicos Vila Rica Ltda,"Avenida Dep. Cantidio Sampaio, 1000",Vila Rica,BRANCA,3.879,3.602,CIF,ASTER,13/11/2019,-,Sim
Auto Posto Paraizo de Alah Ltda,"Avenida Deputado Cantidio Sampaio, 6433",Jaraguá,BRANCA,3.879,-,-,-,21/11/2019,-,Sim
Auto Posto Via Bresser Ltda,"Rua Vinte e Um de Abril, 900",Belenzinho,BRANCA,3.879,3.53,FOB,FERA,13/11/2019,-,Sim
Guadalajara Gasolinas e Servicos Automotivos Ltda,"Avenida Sao Miguel, 9291",São Miguel Paulista,BRANCA,3.889,3.53,FOB,FERA,13/11/2019,-,Sim
Posto de Servicos Os Cunhados Ltda,"Av. Nordestinos,, 2718",Vila Progresso,IPIRANGA,3.889,-,-,-,21/11/2019,-,Sim
Auto Posto Michele Ltda,"Rua Francisco Rebelo, 1072",Vila Alpina,BRANCA,3.899,3.575,FOB,FERA,27/11/2019,-,Sim
Auto Posto Guiquirino Ltda,"Rua Sao Quirino, 298",Vila Quilherme,BRANCA,3.899,3.582,CIF,ASTER,27/11/2019,-,Sim
Posto de Servicos Portal Fernao Dias Ltda,"Rua General Jeronimo Furtado, 277",Jardim Modelo,BRANCA,3.899,3.53,FOB,FERA,06/11/2019,-,Sim
Auto Posto Arinella Ii Ltda,"Avenida Carlos Lacerda, 30",Vila Pirajussara,IPIRANGA,3.899,3.697,CIF,-,13/11/2019,-,Sim
Tri Auto Posto Ltda,"Rua Vereador Cid Galvao da Silva, 310",Penha de Franca,BRANCA,3.899,3.53,FOB,FERA,13/11/2019,-,Sim
Auto Posto S-9 Ltda,"Avenida Rio das Pedras, 19",Vila Carrao,BRANCA,3.899,3.53,FOB,FERA,19/11/2019,-,Sim
Auto Posto Bahamas Ltda,"Avenida Dezenove de Janeiro, 112",Vila Carrao,BRANCA,3.899,3.655,FOB,STOCK,19/11/2019,-,Sim
Amazonas Serv. e Abastecimento Ltda,"Avenida Rio das Pedras, 815",Jd Aricanduva,BRANCA,3.899,3.694,FOB,D`MAIS,19/11/2019,-,Sim
Auto Posto Delfim Ltda,"Rua Manilha, 356",Vila Manchester,BRANCA,3.899,3.53,FOB,FERA,19/11/2019,-,Sim
Csp Auto Posto Ltda.,"Rua Doutor Elisio de Castro, 238",Ipiranga,BRANCA,3.899,-,-,-,18/11/2019,-,Sim
Giro Posto Ltda,"Avenida Mutinga, 2174",Pirituba,BRANCA,3.899,-,-,-,21/11/2019,-,Sim
Auto Posto Prata de Itaquera Ltda.,"Avenida Itaquera, 7369",Itaquera,BRANCA,3.899,-,-,-,27/11/2019,-,Sim
Auto Posto Mc do Novo Mundo Ltda,"Alameda Primeiro Sargento Basilio Nogueira da Costa, 67",Pq. Novo Mundo,BRANCA,3.899,-,-,-,27/11/2019,-,Sim
Auto Posto Clima Limitada,"Avenida Imirim, 562",Imirim,BRANCA,3.899,-,-,-,21/11/2019,-,Sim
Ava Serviços Automotivos Ltda,"Avenida Bosque da Saude, 1210",Bosque da Saúde,IPIRANGA,3.899,-,-,-,18/11/2019,-,Sim
Auto Posto Domo Ltda,"Rua Guarapiranga, 2 A",Vila Simone,BRANCA,3.899,-,-,-,27/11/2019,-,Sim
Auto Posto Portal da Vila Guilherme Ltda,"Avenida Joaquina Ramalho, 474 Ao 498",Vila Guilherme,PETROBRAS DISTRIBUIDORA S.A.,3.899,-,-,-,27/11/2019,-,Sim
Posto Jamaica Ltda,"Avenida Guilherme Cotching, 729",Vl. Maria,BRANCA,3.899,3.54,CIF,FERA,27/11/2019,-,Sim
Posto de Servicos Automotivos e Comercio de Combustiveis O Bem Amado Ltda,"Avenida Conselheiro Carrao, 656",Vila Carrao,BRANCA,3.899,-,-,-,19/11/2019,-,Sim
Rede Cristal Sao Paulo Ltda,"Avenida Ragueb Chohfi, 7850",Guaianazes,BRANCA,3.899,-,-,-,27/11/2019,-,Sim
Auto Posto Ri-mar Ltda,"Rua Curuça, 129",Vila Maria,BRANCA,3.899,3.58,CIF,FERA,27/11/2019,-,Sim
Auto Posto de Serviços Petro Master Ltda.,"Rua Gonçalves Dias, 417",Catumbi,BRANCA,3.899,3.611,FOB,POTENCIAL,05/11/2019,-,Sim
Auto Posto Novo Luz da Radial Ltda,"Avenida Alvaro Ramos, 707",Quarta Parada,BRANCA,3.899,3.6,FOB,STOCK,05/11/2019,-,Sim
Sames Center Servicos Automotivos Ltda,"Avenida Jardim Japao, 1110",Jardim Brasil,BRANCA,3.899,3.54,FOB,FERA,06/11/2019,-,Sim
Auto Posto Vila Salete Ltda.,"Avenida Amador Bueno da Veiga, 1603",Penha de Franca,BRANCA,3.899,-,-,-,05/11/2019,-,Sim
Posto de Servicos Ju Ltda,"Rua Abilio Pedro Ramos, 352",Jaçanã,BRANCA,3.899,3.616,FOB,TOBRAS,06/11/2019,-,Sim
Auto Posto Rio da Prata Ltda,"Avenida Amador Bueno da Veiga, 2218",Penha,RAIZEN,3.899,3.741,CIF,-,05/11/2019,-,Sim
Auto Posto Vila Re Ltda,"R. Itingucu, 1541, S/n",Vila Ré,BRANCA,3.899,-,-,-,05/11/2019,-,Sim
Auto Posto X 5 Ltda - Me,"Rua Lopes da Costa, 1091",Vila Isabel,BRANCA,3.899,3.52,FOB,FERA,06/11/2019,-,Sim
Auto Posto Raio de Sol Ltda.,"Rua Manuel Gaya, 631",Vila Mazzei,BRANCA,3.899,3.64,FOB,STOCK,06/11/2019,-,Sim
Granadao Posto de Servicos Ltda,"Rua Itingucu, 201",Penha,BRANCA,3.899,-,-,-,05/11/2019,-,Sim
Lider da Penha Auto Posto Ltda.,"Avenida Amador Bueno da Veiga, 1026",Penha,BRANCA,3.899,3.53,FOB,FERA,05/11/2019,-,Sim
Auto Posto Lindoia Ltda,"Rua Maria Daffre, 415",Vl Prudente,BRANCA,3.899,3.53,FOB,FERA,12/11/2019,-,Sim
Posto de Serviço Rio Branco Eireli - Epp.,"Avenida Sao Miguel, 3608",Vila Rio Branco,BRANCA,3.899,3.54,FOB,FERA,13/11/2019,-,Sim
Auto Posto Vila Monumento Ltda,"Avenida Dom Pedro I, 297",Vila Monumento,BRANCA,3.899,3.54,FOB,ASTER,12/11/2019,-,Sim
Auto Posto Green Ltda,"Avenida Joao Paulo I, 370",Nossa Senhora do O,BRANCA,3.899,-,-,-,13/11/2019,-,Sim
Auto Posto Mencorossi Ltda,"Avenida Airton Pretini, 43",Penha,BRANCA,3.899,3.54,FOB,FERA,13/11/2019,-,Sim
Auto Posto Ana Neri Ltda,"Rua da Ana Neri, 1156",Cambuci,BRANCA,3.899,-,-,-,12/11/2019,-,Sim
Auto Posto Dinossauros Ltda.,"Avenida Sao Miguel, 1688",Vila Buenos Aires,BRANCA,3.899,-,-,-,13/11/2019,-,Sim
Auto Posto Muniz de Souza Ltda - Epp,"Rua Muniz de Sousa, 541",Aclimacao,BRANCA,3.899,3.545,FOB,FERA,12/11/2019,-,Sim
Auto Posto Estacao Leste Ltda.,"Avenida Sao Miguel, 8070",Sao Miguel,BRANCA,3.899,-,-,-,13/11/2019,-,Sim
Auto Posto Aveiro da Vila Albertina Eireli,"Avenida Santa Marina, 2268",Vila Albertina,BRANCA,3.899,-,-,-,13/11/2019,-,Sim
Auto Posto Europa Garden Ltda,"Avenida Marechal Tito, 7059",Cidade Nitro Operario,RAIZEN,3.899,3.751,CIF,-,13/11/2019,-,Sim
Auto Posto Mms Ltda,"Avenida General Penha Brasil, 309 Letra A",Vila Angelica,BRANCA,3.899,3.608,CIF,ASTER,13/11/2019,-,Sim
Auto Posto Cento e Cinquenta Ltda,"Rua Gal Jeronimo Furtado, 150",Jacana,BRANCA,3.899,3.54,CIF,FERA,06/11/2019,-,Sim
Auto Posto S-10 Ltda,"Avenida Nazare, 1542",Ipiranga,BRANCA,3.899,3.55,FOB,FERA,18/11/2019,-,Sim
Auto Posto Polo Sul Ltda,"Avenida Rio das Pedras, 3620 Terreo",Jardim Iv Centenario,BRANCA,3.899,3.63,FOB,STOCK,19/11/2019,-,Sim
