RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Gigante da Imigrantes Auto Posto Ltda,"Avenida Prof Abrahao de Morais, 1180",Bosque da Saude,RAIZEN,3.997,3.83,FOB,-,18/11/2019,-,Sim
Auto Posto Partida Ltda,"Avenida do Oratorio, 5559",Jardim Angela,ALESAT,3.998,3.75,FOB,-,26/11/2019,-,Sim
Auto Posto Marmell Ltda,"Avenida Ragueb Chohfi, 4.000",Parque Boa Esperanca,IPIRANGA,3.999,-,-,-,27/11/2019,-,Sim
Auto Posto Cidade Tiradentes,"Rua Marcio Bek Machado, 111",Fazenda Santa Etelvina,BRANCA,3.999,3.716,FOB,-,27/11/2019,-,Sim
Auto Posto Placar Ltda,"Avenida Doutor Eduardo Cothing, 833",Vila Formosa,RAIZEN,3.999,-,-,-,19/11/2019,-,Sim
Posto Gasparzinho Ltda,"Avenida Aguia de Haia, 2600 Loja 3",Cid Ae Carvalho,BRANCA,3.999,3.77,CIF,RAIZEN,21/11/2019,-,Sim
Porto Seguro Combustivel e Conveniencias Ltda,"Rua Valdemar Carlos Pereira, 937",Vila Matilde,BRANCA,3.999,3.535,FOB,FERA,21/11/2019,-,Sim
Centro Automotivo Alterosa Eireli,"Rua Terra Sem Males, 31",Vila Curuçá,BRANCA,3.999,3.65,FOB,REDEPETRO,21/11/2019,-,Sim
Centro Automotivo Montecarlo Ltda - Me,"Avenida Doutor Pereira Vergueiro, 287",Vila Nhocune,IPIRANGA,3.999,3.782,CIF,-,21/11/2019,-,Sim
Auto Posto Bosque da Saude Ltda,"Avenida Bosque da Saude, 639",Saude,IPIRANGA,3.999,3.75,FOB,-,18/11/2019,-,Sim
Auto Posto Estoril Ltda,"Rua Alvarenga, 2045",Butantã,RAIZEN,3.999,-,-,-,07/11/2019,-,Sim
Vm Rodrigues Combustiveis Ltda,"Rua Estevao Ribeiro Garcia, 30",Jardim Virginia,RAIZEN,3.999,3.744,FOB,-,13/11/2019,-,Sim
Bridge Serviços Automotivos Ltda,"Avenida Inajar de Souza, 40",Freguesia do Ó,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Posto Castilho Limitada,"Rua do Oratorio, 3286",Vila Prudente,BRANCA,3.999,-,-,-,12/11/2019,-,Sim
Fukuya Kanemoto & Cia Ltda,"Avenida Otaviano Alves de Lima, 2888",Freguesia do Ó,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Cambuci Auto Posto Limitada,"Lg do Cambuci, 172",Cambuci,RAIZEN,3.999,3.813,FOB,-,12/11/2019,-,Sim
Auto Posto Atlanta Ltda,"Avenida Sapopemba, 579",Água Rasa,BRANCA,3.999,3.558,FOB,ALESAT,13/11/2019,-,Sim
Carlos Alberto Papacidero,"Avenida Professor Celestino Bourroul, 34",Limao,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Auto Posto Imbó Ltda.,"Avenida Regente Feijo, 752",Vila Regente Feijo,ALESAT,3.999,-,-,-,13/11/2019,-,Sim
Auto Posto Reira Ltda,"Avenida Inajar de Souza, 455",Freguesia do O,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Novo Brilho Centro Automotivo Ltda,"Avenida Paes de Barros, 1999 Terreo;",Mooca,BRANCA,3.999,-,-,-,12/11/2019,-,Sim
Auto Posto Anhembi Ltda,"Avenida Braz Leme, 637",Casa Verde,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,21/11/2019,-,Sim
Auto Posto Elidia Ltda,"Avenida Rio das Pedras, 1735",Vl Carrao,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.765,FOB,-,19/11/2019,-,Sim
Centro Automotivo Abraao de Moraes Ltda,"Avenida Professor Abraao de Morais, 2233",Saude,RAIZEN,3.999,-,-,-,18/11/2019,-,Sim
Auto Posto Rede Leste Comercio de Combustiveis Ltda,"Avenida Waldemar Carlos Pereira, 2176",Vila Talarico,RAIZEN,3.999,-,-,-,21/11/2019,-,Sim
Auto Posto Canoa Quebrada - Ce Ltda.,"Estrada M Boi Mirim, 4757",Jardim Angela,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,26/11/2019,-,Sim
Auto Posto Calabria Ltda,"Estrada Itaquera-guainazes, 400",Parada Xv de Novembro,BRANCA,3.999,-,-,-,27/11/2019,-,Sim
Auto Posto Mar Del Plata Ltda,"Rua Flores do Piaui, 14",Itaquera,BRANCA,3.999,-,-,-,27/11/2019,-,Sim
Centro Automotivo Psx58 Ltda,"Rua Elisa Silveira, 57 Terreo",Vila Santo Estefano,IPIRANGA,3.999,-,-,-,18/11/2019,-,Sim
Centreville Servicos Automotivos Ltda,"Rua Cerro Cora, 1095",Lapa,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,21/11/2019,-,Sim
Hawai Auto Posto Ltda,"Avenida Ermano Marchetti, 800",Agua Branca,RAIZEN,3.999,-,-,-,21/11/2019,-,Sim
Posto Central do Guarani Ltda.,"Avenida Sapopemba, 5.690",Vila Guarani,IPIRANGA,3.999,3.829,CIF,-,26/11/2019,-,Sim
Itaim Fuel Auto Posto Ltda,"Rua Tiburcio de Sousa, 1285",Itaim Paulista,BRANCA,3.999,3.625,FOB,TOBRAS,27/11/2019,-,Sim
Auto Posto Boxter Parque Novo Mundo Ltda,"Rua Cabo Oscar Rossini, 996",Parque Novo Mundo,BRANCA,3.999,3.58,FOB,FERA,27/11/2019,-,Sim
Auto Posto Mc de Sao Paulo Ltda,"Rua Tiburcio de Souza, 1125",Itaim Paulista,IPIRANGA,3.999,-,-,-,27/11/2019,-,Sim
Auto Posto Mc do Itaim Ltda.,"Rua Manuel Bueno da Fonseca, 65",Itaim Paulista,BRANCA,3.999,3.62,FOB,FLEXPETRO,27/11/2019,-,Sim
Comercio Varejista de Combustiveis Veloz Ltda,"Avenida Professor Luiz Ignacio Anhaia Mello, 6143",Vila Ema,RAIZEN,3.999,3.81,FOB,-,26/11/2019,-,Sim
R. R. Combustiveis Ltda,"Rua Vergueiro, 5065",Ipiranga,IPIRANGA,3.999,3.75,FOB,-,18/11/2019,-,Sim
Auto Posto Almirante Cursino Ltda,"Avenida do Cursino, 970",Saude,BRANCA,3.999,3.655,FOB,FLEXPETRO,18/11/2019,-,Sim
Box 4 Posto de Serviços e Conveniências Ltda,"Estrada da Colônia, S/n",Nova Parelheiros,BRANCA,3.999,-,-,-,26/11/2019,-,Sim
Auto Posto Pacific I Ltda,"Avenida Morvan Dias de Figueiredo, 1709",Vila Maria,BRANCA,3.999,3.58,FOB,FERA,27/11/2019,-,Sim
Mix Auto Posto Ltda,"Rua Serra de Jaire, 26, 36",Quarta Parada,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,05/11/2019,-,Sim
Coimbra Auto Posto Ltda,"Avenida Doutor Orencio Vidigal, 340",Penha,RAIZEN,3.999,3.744,FOB,-,05/11/2019,-,Sim
Auto Posto Largo de Pinheiros Ltda,"Rua dos Pinheiros, 1501",Jardim das Rosas - Pinheiros,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,06/11/2019,-,Sim
Auto Posto Gabriela Ltda,"Rua Jujiu, 501",Vila Montevideo,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.755,FOB,-,05/11/2019,-,Sim
Auto Posto 27 Ltda,"Rua Celina, 117",Vila Esperanca,BRANCA,3.999,3.549,FOB,ASTER,05/11/2019,-,Sim
Auto Posto Colorado Ltda,"Avenida Guapira, 1261",Tucuruvi,BRANCA,3.999,3.635,FOB,STOCK,06/11/2019,-,Sim
Auto Posto Malaga Ltda,"Avenida Elisio Cord.siqueira, 652",Vl Mangalot,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,06/11/2019,-,Sim
Auto Posto Nossa Senhora da Penha Ltda,"Avenida Amador Bueno da Veiga, 20",Penha,ALESAT,3.999,-,-,-,05/11/2019,-,Sim
Auto Posto Alto da Serra Ltda,"Avenida Cel Sezefredo Fagundes, 2383",Jardim Tremembé,BRANCA,3.999,-,-,-,06/11/2019,-,Sim
Posto de Servicos Mareli Ltda - Epp,"Avenida Roland Garros, 1810",Jardim Brasil,BRANCA,3.999,3.57,FOB,FERA,06/11/2019,-,Sim
Posto de Serviços Modêlo Ltda,"Rua Schilling, 213",Lapa,BRANCA,3.999,-,-,-,07/11/2019,-,Sim
Gasnet Paulistano Auto Posto Ltda,"Avenida Oliveira Freire, 1572",Parque Paulistano,BRANCA,3.999,-,-,-,06/11/2019,-,Sim
Auto Posto Lik Ltda,"Rua Fernando Falcao, 537",Mooca,IPIRANGA,3.999,-,-,-,05/11/2019,-,Sim
Auto Posto Braganca Ltda,"Av.c.sezefredo Fagundes 2483-tremem, S/n",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.707,CIF,-,06/11/2019,-,Sim
Auto Posto Itaipu Ltda,"R.itingucu 1142 - Vila Re', S/n",Santo Amaro,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,05/11/2019,-,Sim
Auto Posto Francisco Mesquita Ltda.,"Avenida Doutor Francisco Mesquita, 917",Vila Prudente,BRANCA,3.999,-,-,-,05/11/2019,-,Sim
Auto Posto Simpatia Ltda,"Avenida Guapira, 700",Tucuruvi,RAIZEN,3.999,3.759,CIF,-,06/11/2019,-,Sim
Auto Posto Moni Ltda,"Rua Emilia Mach Figueiredo, 174",Jacana,RAIZEN,3.999,-,-,-,06/11/2019,-,Sim
Auto Posto 5300 Ltda,"Avenida do Estado, 5300",Cambuci,RAIZEN,3.999,-,-,-,12/11/2019,-,Sim
Auto Posto Pangeia Ltda,"Rua Bueno de Andrade, 404",Aclimação,PETROBRAS DISTRIBUIDORA S.A.,3.999,-,-,-,12/11/2019,-,Sim
Centro Automotivo Marechal Tito Ltda,"Avenida Marechal Tito, 3300",Sao Miguel,RAIZEN,3.999,3.713,CIF,-,13/11/2019,-,Sim
Sombra da Paineira Auto Posto Ltda,"Avenida Mal Tito, 1936",Sao Miguel Paulista,BRANCA,3.999,-,-,-,13/11/2019,-,Sim
Posto de Serviços da Ponte Ltda,"Avenida Nossa Senhora do O, 1693",Freguesia do Ó,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Sol Dourado Auto Service Ltda,"Rua Capitão Pacheco Chaves, 685",Vila Prudente,RAIZEN,3.999,3.78,FOB,-,12/11/2019,-,Sim
Auto Posto Marini Ltda,"Rua Inajar de Souza, 550",Freguesia do Ó,RAIZEN,3.999,3.769,CIF,-,13/11/2019,-,Sim
P-50 Estacao de Servicos Automotivos Ltda.,"Avenida Sapopemba, 1790",Vila Prudente,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.719,FOB,-,13/11/2019,-,Sim
Auto Posto Estrela da Casa Verde Ltda,"Avenida Casa Verde, 3332 Terreo",Casa Verde,BRANCA,3.999,-,-,-,13/11/2019,-,Sim
Nova Cachoeirinha Auto Posto Comercio Ltda,"Avenida Inajar de Souza, 3535",Limao,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Trevo de Tiquatira Servicos Automotivos Ltda,"Avenida Gov Carvalho Pinto, 2228",Penha,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.723,FOB,-,13/11/2019,-,Sim
Posto de Serviços Monte Santo Ltda,"Estrada de Sao Miguel, 6060",Ermelino Matarazzo,IPIRANGA,3.999,-,-,-,13/11/2019,-,Sim
Auto Posto Largo do Japones Ltda,"Avenida Imirim, 4676",V. Nova Cachoeirinha,BRANCA,3.999,3.61,CIF,NOROESTE,13/11/2019,-,Sim
Papa 5 Serviços Automotivos Ltda,"Avenida Braz Leme, 164",Casa Verde - Santana,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Centro Automotivo Agua Espraiada Ltda,"Rua Zacarias de Goes, 628",Campo Belo,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Centro de Abastecimento de Gas Milena Ltda,"Avenida Otaviano Alves de Lima, 3926",Nossa Sra do O,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Auto Posto Sinha Moca Limitada,"Rua Cap Pacheco e Chaves, 394",Vila Prudente,BRANCA,3.999,-,-,-,12/11/2019,-,Sim
Auto Posto Novo Morro Grande Ltda,"Avenida Miguel Conejo, 1051",Freguesia do O,PETROBRAS DISTRIBUIDORA S.A.,3.999,3.734,CIF,-,14/11/2019,-,Sim
Auto Posto Kan Tan Ltda,"Avenida Dr Ricardo Jafet, 168",Ipiranga,BRANCA,3.999,-,-,-,12/11/2019,-,Sim
Auto Posto Bellagio Ltda.,"Avenida Inajar de Souza, 3550",Do Limão,RAIZEN,3.999,-,-,-,13/11/2019,-,Sim
Maranello - Comercio Varejista de Combustíveis Ltda.,"Rua Cirene de Oliveira Laet, 962",Vila Nilo,BRANCA,3.999,3.624,FOB,D`MAIS,06/11/2019,-,Sim
Posto de Serviços 577 Ltda.,"Rua Jose Mascarenhas, 577",Vila Matilde,BRANCA,3.999,3.54,FOB,ASTER,05/11/2019,-,Sim
Auto Posto Ancara Ltda.,"Rua Raiz Amarela, 296",Jardim Helena,BRANCA,3.999,3.614,FOB,TOBRAS,06/11/2019,-,Sim
Auto Posto Aguia Sx Ltda,"Avenida Aguia de Haia, 1203",Parque Paineiras,BRANCA,3.999,3.679,FOB,D`MAIS,21/11/2019,-,Sim
Auto Posto Melide Ltda,"Rua Conego Januario, 357",Ipiranga,RAIZEN,3.999,3.723,FOB,-,12/11/2019,-,Sim
Auto Posto Trezentao Ltda.,"Rua Sao Joao Climaco, 300",Sao Joao Climaco,ALESAT,3.999,3.815,FOB,-,25/11/2019,-,Sim
Auto Posto Jardim do Cambuci Ltda,"Rua Daindependencia, 196",Cambuci,IPIRANGA,3.999,3.748,FOB,-,12/11/2019,-,Sim
Auto Posto Serra do Mar Ltda,"Via Anchieta, 1778",Ipiranga,BRANCA,4.049,3.685,FOB,ASTER,25/11/2019,-,Sim
Argetax Administracao e Participacoes em Empreendimentos Comerciais Ltda,"Avenida Celso Garcia, 1472",Belem,RAIZEN,4.049,3.776,FOB,-,05/11/2019,-,Sim
Pedro Yano & Cia Ltda,"Avenida Marechal Tito, 2614",São Miguel Paulista,BRANCA,4.049,-,-,-,13/11/2019,-,Sim
Siqlub Auto Posto Ltda,"Avenida Rio das Pedras, 3100",Vl Nova York,BRANCA,4.059,-,-,-,19/11/2019,-,Sim
Auto Posto Palmeiras Ltda,"Rua Benedito Guedes de Oliveira, 561",Vila Palmeiras,ALESAT,4.079,-,-,-,13/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Avenida Brigadeiro Luiz Antonio, 1967 2013, Parte",Bela Vista,IPIRANGA,4.079,-,-,-,21/11/2019,-,Sim
Auto Posto Jmc Brasil Ltda,"Avenida das Cerejeiras, 2295",Vila Maria,BRANCA,4.079,-,-,-,27/11/2019,-,Sim
Carrefour Comercio e Industria Ltda,"Via Anchieta, 3398 Parte",Ipiranga,RAIZEN,4.079,-,-,-,25/11/2019,-,Sim
Auto Posto Sakura Ltda,"Rua Alto Belo, 850",Vila Antonieta,BRANCA,4.089,-,-,-,19/11/2019,-,Sim
Auto Posto Tucuruvi Ltda,"Avenida Cel. Sezefredo Fagundes, 263",Tucuruvi,PETROBRAS DISTRIBUIDORA S.A.,4.095,-,-,-,06/11/2019,-,Sim
Posto Colina Ltda,"Rua Gama Lobo, 1163",Ipiranga,BRANCA,4.097,3.81,FOB,IPIRANGA,18/11/2019,-,Sim
Auto Posto Maria Estela Ltda,"Avenida Nossa Senhora da Encarnacao, 407",Jardim Maria Estela,RAIZEN,4.097,3.829,FOB,-,25/11/2019,-,Sim
Auto Posto Comaris Ltda,"Avenida do Cursino, 6467",Jardim Celeste,BRANCA,4.097,3.605,FOB,FERA,25/11/2019,-,Sim
Auto Posto Panamericano Ltda,"Estrada das Taipas, 1335",Jaraguá,RAIZEN,4.097,-,-,-,06/11/2019,-,Sim
Auto Posto Walquiria Ltda,"Avenida Gal Ataliba Leonel, 2248",Santana,BRANCA,4.097,3.617,CIF,ROYAL FIC,21/11/2019,-,Sim
Auto Posto Nipo Brasileiro Ltda,"Avenida Mal Tito, 3501",Jd Silva Teles,IPIRANGA,4.097,3.779,FOB,-,06/11/2019,-,Sim
Morada do Sol Comercio de Lubrificantes Ii Ltda.,"Avenida Aguia de Haia, 3605",Jardim Cotinha,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.836,FOB,-,21/11/2019,-,Sim
Auto Posto Real 1563 Ltda,"Avenida Dr Eduardo Cotching, 1563",Vila Formosa,ALESAT,4.099,3.788,FOB,-,19/11/2019,-,Sim
Posto de Servicos Automotivos Calovini Ltda,"Avenida Paula Ferreira, 705",Piqueri,IPIRANGA,4.099,-,-,-,21/11/2019,-,Sim
Centro Automotivo Ccc Ltda,"Rua Carneiro da Cunha, 590",Saúde,RAIZEN,4.099,-,-,-,18/11/2019,-,Sim
Auto Posto J e Ltda,"Avenida Joaquina Ramalho, 151",Vl Guilherme,IPIRANGA,4.099,3.809,FOB,-,21/11/2019,-,Sim
Auto Posto Gfm Ltda,"Avenida Waldemar Carlos Pereira, 1455",Vila Talarico,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,21/11/2019,-,Sim
Auto Posto Prata 90 Ltda,"Rua Padre Joao Manuel, 386",Cerqueira César,RAIZEN,4.099,-,-,-,21/11/2019,-,Sim
Auto Posto Cerro Cora Ltda,"Rua Cerro Cora, 949",Alto da Lapa,RAIZEN,4.099,-,-,-,21/11/2019,-,Sim
Posto de Serv. A C 2 Ltda,"Praca Delegado Amoroso Neto, 09",Pq. Souza Aranha,IPIRANGA,4.099,3.785,CIF,-,21/11/2019,-,Sim
Auto Posto Jardim Sao Paulo Ltda,"Avenida Nova Cantareira, 428",Tucuruvi,RAIZEN,4.099,3.829,CIF,-,21/11/2019,-,Sim
Carlos E. L. Braga Posto,"Avenida Atlântica, 760",Socorro,RAIZEN,4.099,3.834,FOB,-,26/11/2019,-,Sim
Auto Posto Arinella Brooklin Ltda,"Avenida Vereador Jose Diniz, 1709",Santo Amaro,RAIZEN,4.099,-,-,-,25/11/2019,-,Sim
Auto Posto Irmaos Ventura Ltda,"Avenida Pe Arlindo Vieira, 727",Vila Merces,BRANCA,4.099,-,-,-,25/11/2019,-,Sim
Auto Posto Multmax Ltda.,"Avenida Rio das Pedras, 1816",Jardim Aricanduva,RAIZEN,4.099,-,-,-,19/11/2019,-,Sim
Auto Posto Aero Marte Ltda,"Rua Faustino Pereira Matias, 86",Santana,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,21/11/2019,-,Sim
Auto Posto Pauliceia Ltda,"Avenida Leoncio de Magalhaes, 1351",Jd Sao Paulo,IPIRANGA,4.099,3.821,CIF,-,21/11/2019,-,Sim
Posto de Serviços Vera Cruz Radial Ltda,"Avenida Antonio Estevao de Carvalho, 28",Cidade Patriarca,RAIZEN,4.099,3.744,FOB,-,05/11/2019,-,Sim
Centro Automotivo Tannat Ltda,"Avenida Alcantara Machado, 3.500",Quarta Parada,IPIRANGA,4.099,3.784,FOB,-,05/11/2019,-,Sim
Auto Posto Maria Carlota Ltda,"Rua Maria Carlota, 286 298 e 302",Vila Esperanca,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.799,CIF,-,05/11/2019,-,Sim
Auto Posto Zenith Belem Ltda,"Rua Catumbi, 371",Belem,IPIRANGA,4.099,3.709,FOB,-,05/11/2019,-,Sim
Auto Posto Mirante do Tucuruvi Ltda,"Avenida Tucuruvi, 1016",Tucuruvi,BRANCA,4.099,-,-,-,06/11/2019,-,Sim
Auto Posto Trevo da Sorte Ltda,"Rua Ibitirama, 704",Vila Prudente,IPIRANGA,4.099,3.777,FOB,-,12/11/2019,-,Sim
Auto Posto Macuco Ltda,"Avenida Macuco, 644",Moema,RAIZEN,4.099,-,-,-,13/11/2019,-,Sim
Malure Auto Posto Ltda,"Avenida Professorluiz Ignacio Anhaia Mello, 1622",Quinta da Paineira,RAIZEN,4.099,-,-,-,12/11/2019,-,Sim
Auto Posto Vitrola Ltda,"Avenida Inajar de Souza, 93",Freguesia do Ó,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.817,CIF,-,13/11/2019,-,Sim
Gabriella Gas-station Comércio de Combustíveis Ltda.,"Rua Cirene Jorge Ribeiro, 600",Penha,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.78,CIF,-,13/11/2019,-,Sim
Auto Posto Aguiaself Ltda.,"Avenida São Miguel, 5700",Jardim Cotinha,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.847,FOB,-,13/11/2019,-,Sim
Allbatross Serviços Automotivos Ltda.,"Rua Silva Bueno, 1195",Ipiranga,IPIRANGA,4.099,-,-,-,12/11/2019,-,Sim
Marechal Fuel Posto de Serviços Ltda.,"Rua Doutor José Pereira Gomes, 35",Jardim das Oliveiras,IPIRANGA,4.099,3.751,FOB,-,13/11/2019,-,Sim
Cuca Legal Auto Servicos Ltda,"Avenida Boturussu, 415",Ermelino Matarazzo,RAIZEN,4.099,-,-,-,13/11/2019,-,Sim
Auto Posto Dupla Estrela Ltda.,"Rua Cesario Ramalho, 413",Cambuci,BRANCA,4.099,3.629,FOB,ALESAT,12/11/2019,-,Sim
Auto Posto Havai Ltda,"Rua Miguel Motta, 170",Água Rasa,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.729,FOB,-,13/11/2019,-,Sim
Modena Auto Posto Ltda,"Estrada do M Boi Mirim, 3060",Jardim Coimbra,BRANCA,4.099,-,-,-,13/11/2019,-,Sim
Auto Posto Lavapes Ltda,"Rua do Lavapes, 187",Cambuci,RAIZEN,4.099,3.757,FOB,-,12/11/2019,-,Sim
Auto Posto Joia do Jacana Ltda,"Rua Benjamin Pereira, 838",Jacana,BRANCA,4.099,3.666,CIF,TRIANGULO,06/11/2019,-,Sim
Auto Posto Desportivo Ltda,"Avenida Mal Tito, 2400",Sao Miguel Paulista,RAIZEN,4.099,3.808,CIF,-,13/11/2019,-,Sim
Posto Nova Aricanduva Ltda,"Avenida Aricanduva, 3498",Vila California,RAIZEN,4.099,3.774,CIF,-,27/11/2019,-,Sim
Brasil Leste Auto Posto Ltda,"Avenida Aricanduva, 12950",Jardim Colonial,BRANCA,4.099,3.875,FOB,IPIRANGA,27/11/2019,-,Sim
Posto Jd Helena Com de Derivados de Petroleo Ltda,"Estrada de Itaquera-guaianazes, 2392 N/t",Guaianazes,IPIRANGA,4.099,3.912,CIF,-,27/11/2019,-,Sim
Auto Posto Iberico Ltda,"Avenida Aricanduva, 5008",Vila Aricanduva,RAIZEN,4.099,3.744,CIF,-,27/11/2019,-,Sim
Posto de Servicos Presidente Altino Limitada,"Avenida Pres Altino, 1579",Jaguare,BRANCA,4.099,-,-,-,06/11/2019,-,Sim
Auto Posto Belenzinho Ltda,"Rua Sao Leopoldo, 546",Belenzinho,BRANCA,4.099,-,-,-,05/11/2019,-,Sim
Auto Posto Arinella Belem Ltda,"Rua Siqueira Bueno, 1081",Belezinho,RAIZEN,4.099,-,-,-,05/11/2019,-,Sim
Auto Posto Moinho Velho Limitada,"Rua Caminho do Engenho, 655",Ferreira,RAIZEN,4.099,-,-,-,07/11/2019,-,Sim
Auto Posto Brazao Ltda,"Avenida Luis Stamatis, 1039",Jacana,RAIZEN,4.099,3.808,CIF,-,06/11/2019,-,Sim
Tupan Auto Posto Ltda,"Avenida Guapira, 1792 A",Tucuruvi,BRANCA,4.099,3.663,CIF,ROYAL FIC,06/11/2019,-,Sim
Posto de Servico Itaipava Ltda,"Avenida Prof Francisco Morato, 1070",Caxingui,BRANCA,4.099,-,-,-,07/11/2019,-,Sim
Centro Auto Posto Hipodromo Ltda,"Rua Hipodromo, 303",Brás,BRANCA,4.099,3.54,FOB,ASTER,05/11/2019,-,Sim
Portal do Paraiso Posto de Serviços Ltda,"Avenida Giovanni Gronchi, 3300",Jardim Leonor,BRANCA,4.099,-,-,-,13/11/2019,-,Sim
Centro Automotivo Omega Ltda,"Avenida Joao Paulo I, 2181",Jardim Esperança,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.705,CIF,-,13/11/2019,-,Sim
Auto Posto Independencia do Cambuci Ltda,"Rua da Independencia, 907",Cambuci,RAIZEN,4.099,3.773,FOB,-,12/11/2019,-,Sim
Posto de Servicos Parque da Mooca Ltda,"Rua Jumana, 149",Mooca,BRANCA,4.099,3.54,FOB,ASTER,12/11/2019,-,Sim
Auto Posto Flor de Goias Ltda,"Rua Aureliano Lessa, 31 Terreo;",Vila Regente Feijo,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.746,FOB,-,13/11/2019,-,Sim
Auto Posto Bonnevile Ltda - Me,"Avenida Prof Edgar Santos, 941",Itaquera,RAIZEN,4.099,3.867,CIF,-,27/11/2019,-,Sim
Posto Nova Brasilia Ltda,"Rua Nova Brasilia, 334",Jd Dona Sinha,BRANCA,4.099,3.709,FOB,TRIANGULO,26/11/2019,-,Sim
Auto Posto Bom Ltda,"Avenida Sapopemba, 8431",Sapopemba,BRANCA,4.099,3.695,FOB,POTENCIAL,26/11/2019,-,Sim
G-10 Estacao de Servicos Automotivos Ltda.,"Avenida Conselheiro Carrao, 1624",Vila Carrao,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,19/11/2019,-,Sim
Auto Posto 28 de Setembro Ltda,"Avenida Doutor Gentil de Moura, 445",Ipiranga,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,18/11/2019,-,Sim
Auto Posto Dacar Ltda.,"Rua Aguia de Haia, 583",Artur Alvin,IPIRANGA,4.099,3.795,CIF,-,21/11/2019,-,Sim
Centro Automotivo Portal do Litoral Ltda.,"Rua Antonio Bezerra, 205",Vila Eliseu,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,25/11/2019,-,Sim
C. F. C. Auto Posto Ltda,"Rua Dr. Flavio Americo Maurano, 965",Jardim Morumbi,BRANCA,4.099,-,-,-,26/11/2019,-,Sim
Posto Isola Derivados de Petroleo Ltda,"Avenida Robert Kennedy, 850",Socorro,RAIZEN,4.099,-,-,-,26/11/2019,-,Sim
Posto Vila Rica Derivados de Petroleo Ltda,"Avenida Joaquina Ramalho, 886",Vl Guilherme,RAIZEN,4.099,3.869,CIF,-,27/11/2019,-,Sim
Auto Posto Vibe Ltda,"Avenida Morumbi, 7685",Brooklin,BRANCA,4.099,-,-,-,25/11/2019,-,Sim
Centro Automotivo R 2 Requinte Ltda,"Avenida do Oratorio, 5313",Jardim Angela,BRANCA,4.099,3.656,FOB,-,26/11/2019,-,Sim
Gamelinha Servicos Automotivos Ltda,"Avenida Professor Edgard Santos, 2435",Vila Matilde,RAIZEN,4.099,-,-,-,27/11/2019,-,Sim
Posto de Serviços J2r Ltda,"Avenida do Oratório, 4912",Vila Industrial,RAIZEN,4.099,-,-,-,05/11/2019,-,Sim
Auto Servicos Jangadeiro Ltda,"Rua Catumbi, 840",Belenzinho,ALESAT,4.099,3.752,FOB,-,05/11/2019,-,Sim
Auto Posto Nardobal Ltda,"Avenida das Cerejeiras, 271",Jardim Japao,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.773,FOB,-,27/11/2019,-,Sim
Auto Posto Estrela Dalva do Curuca Ltda,"Rua Jaguar, 01",Vila Curuca,BRANCA,4.099,3.645,FOB,-,21/11/2019,-,Sim
Posto de Servico Agua Funda Ltda,"Avenida Professor Abrahao de Morais, 3606",Vila Firmino Pinto,RAIZEN,4.099,-,-,-,18/11/2019,-,Sim
Gipires Posto de Servicos Ltda,"Avenida Casa Verde, 2971",Casa Verde,RAIZEN,4.099,3.808,CIF,-,21/11/2019,-,Sim
